label,AGE (months),Severe Thinness,Thinness (from),Thinness (to),Normal (from),Normal (to),Overweight (from),Overweight (to),Obese
5: 1,61,12,12.1,12.9,13.0,16.6,16.7,18.3,18.4
5: 2,62,12,12.1,12.9,13.0,16.6,16.7,18.3,18.4
5: 3,63,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 4,64,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 5,65,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 6,66,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 7,67,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 8,68,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 9,69,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 10,70,12,12.1,12.9,13.0,16.7,16.8,18.5,18.6
5: 11,71,12,12.1,12.9,13.0,16.7,16.8,18.5,18.6
6: 0,72,12,12.1,12.9,13.0,16.8,16.9,18.5,18.6
6: 1,73,12,12.1,12.9,13.0,16.8,16.9,18.6,18.7
6: 2,74,12.1,12.2,13.0,13.1,16.8,16.9,18.6,18.7
6: 3,75,12.1,12.2,13.0,13.1,16.8,16.9,18.6,18.7
6: 4,76,12.1,12.2,13.0,13.1,16.8,16.9,18.7,18.8
6: 5,77,12.1,12.2,13.0,13.1,16.9,17,18.7,18.8
6: 6,78,12.1,12.2,13.0,13.1,16.9,17,18.7,18.8
6: 7,79,12.1,12.2,13.0,13.1,16.9,17,18.8,18.9
6: 8,80,12.1,12.2,13.0,13.1,16.9,17,18.8,18.9
6: 9,81,12.1,12.2,13.0,13.1,17,17.1,18.9,19
6: 10,82,12.1,12.2,13.0,13.1,17,17.1,18.9,19
6: 11,83,12.1,12.2,13.0,13.1,17,17.1,19,19.1
7: 0,84,12.2,12.3,13.0,13.1,17,17.1,19,19.1
7: 1,85,12.2,12.3,13.1,13.2,17.1,17.2,19.1,19.2
7: 2,86,12.2,12.3,13.1,13.2,17.1,17.2,19.1,19.2
7: 3,87,12.2,12.3,13.1,13.2,17.1,17.2,19.2,19.3
7: 4,88,12.2,12.3,13.1,13.2,17.2,17.3,19.2,19.3
7: 5,89,12.2,12.3,13.1,13.2,17.2,17.3,19.3,19.4
7: 6,90,12.2,12.3,13.1,13.2,17.2,17.3,19.3,19.4
7: 7,91,12.2,12.3,13.1,13.2,17.3,17.4,19.4,19.5
7: 8,92,12.2,12.3,13.1,13.2,17.3,17.4,19.4,19.5
7: 9,93,12.3,12.4,13.2,13.3,17.3,17.4,19.5,19.6
7: 10,94,12.3,12.4,13.2,13.3,17.4,17.5,19.6,19.7
7: 11,95,12.3,12.4,13.2,13.3,17.4,17.5,19.6,19.7
8: 0,96,12.3,12.4,13.2,13.3,17.4,17.5,19.7,19.8
8: 1,97,12.3,12.4,13.2,13.3,17.5,17.6,19.7,19.8
8: 2,98,12.3,12.4,13.2,13.3,17.5,17.6,19.8,19.9
8: 3,99,12.3,12.4,13.2,13.3,17.5,17.6,19.9,20
8: 4,100,12.3,12.4,13.3,13.4,17.6,17.7,19.9,20
8: 5,101,12.4,12.5,13.3,13.4,17.6,17.7,20,20.1
8: 6,102,12.4,12.5,13.3,13.4,17.7,17.8,20.1,20.2
8: 7,103,12.4,12.5,13.3,13.4,17.7,17.8,20.1,20.2
8: 8,104,12.4,12.5,13.3,13.4,17.7,17.8,20.2,20.3
8: 9,105,12.4,12.5,13.3,13.4,17.8,17.9,20.3,20.4
8: 10,106,12.4,12.5,13.4,13.5,17.8,17.9,20.3,20.4
8: 11,107,12.4,12.5,13.4,13.5,17.9,18,20.4,20.5
9: 0,108,12.5,12.6,13.4,13.5,17.9,18,20.5,20.6
9: 1,109,12.5,12.6,13.4,13.5,18,18.1,20.5,20.6
9: 2,110,12.5,12.6,13.4,13.5,18,18.1,20.6,20.7
9: 3,111,12.5,12.6,13.4,13.5,18,18.1,20.7,20.8
9: 4,112,12.5,12.6,13.5,13.6,18.1,18.2,20.8,20.9
9: 5,113,12.5,12.6,13.5,13.6,18.1,18.2,20.8,20.9
9: 6,114,12.6,12.7,13.5,13.6,18.2,18.3,20.9,21
9: 7,115,12.6,12.7,13.5,13.6,18.2,18.3,21,21.1
